Age,Attrition,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
54,No,Sales,3,Marketing,1,303,4,Female,52,3,2,1,Married,5940,17011,No,14,3,4,80,16,3,6,0
36,No,Research & Development,5,Life Sciences,1,304,4,Male,62,3,2,2,Single,5914,9945,No,16,3,4,80,16,4,13,3
33,No,Research & Development,4,Medical,1,305,3,Female,47,2,1,2,Married,2622,13248,No,21,4,4,80,7,3,3,1
37,No,Research & Development,11,Other,1,306,2,Male,47,3,3,4,Divorced,12185,10056,Yes,14,3,3,80,10,3,10,0
38,No,Sales,3,Life Sciences,1,307,1,Male,76,3,3,3,Divorced,10609,9647,No,12,3,3,80,17,2,16,5
31,No,Research & Development,1,Medical,1,308,3,Male,90,1,2,3,Married,4345,4381,No,12,3,4,80,6,3,5,1
59,No,Research & Development,3,Life Sciences,1,309,3,Male,70,,1,4,Married,2177,8456,No,17,3,1,80,7,3,1,0
37,No,Sales,4,Marketing,1,311,1,Male,41,3,1,4,Divorced,2793,2539,No,17,3,3,80,13,3,9,5
29,No,Sales,1,Medical,1,312,2,Female,42,3,3,4,Married,7918,6599,No,14,3,4,80,11,3,11,4
35,No,Sales,1,Marketing,1,314,3,Female,92,3,3,3,Single,8789,9096,No,14,3,1,80,10,4,10,0
29,Yes,Research & Development,18,Medical,1,315,3,Male,86,2,1,4,Single,2389,14961,Yes,13,3,3,80,4,2,4,0
52,No,Research & Development,2,Life Sciences,1,316,3,Female,89,2,1,4,Single,3212,3300,No,15,3,2,80,6,2,2,2
42,No,Research & Development,4,Technical Degree,1,319,3,Male,58,3,5,4,Married,19232,4933,No,11,3,4,80,22,3,22,11
59,No,Human Resources,6,Medical,1,321,2,Male,52,3,1,3,Married,2267,25657,No,17,3,4,80,7,2,2,2
50,No,Sales,1,Medical,1,323,4,Female,68,3,5,4,Divorced,19517,24118,No,11,3,3,80,32,2,7,0
33,Yes,Research & Development,14,Medical,1,325,3,Male,58,3,1,4,Married,2436,22149,Yes,13,3,3,80,8,1,5,0
43,No,Sales,16,Marketing,1,327,4,Female,80,3,4,4,Married,16064,7744,Yes,22,4,3,80,22,3,17,1
33,Yes,Research & Development,2,Life Sciences,1,328,1,Female,39,3,1,1,Married,2707,21509,No,20,4,1,80,13,4,9,1
52,No,Sales,2,Life Sciences,1,329,1,Male,79,2,5,3,Single,19068,21030,Yes,18,3,4,80,33,4,33,15
32,No,Sales,4,Life Sciences,1,330,3,Female,56,3,,2,Married,3931,20990,No,11,3,1,80,6,3,4,1
32,Yes,Research & Development,1,Life Sciences,1,331,4,Male,62,2,1,3,Single,3730,9571,Yes,14,3,4,80,4,1,3,1
39,No,Research & Development,1,Medical,1,332,3,Female,96,3,1,3,Divorced,2232,15417,No,14,3,3,80,7,3,3,1
32,No,Sales,26,Marketing,1,333,3,Male,100,3,2,4,Married,4465,12069,No,18,3,1,80,4,3,3,2
41,No,Research & Development,19,Life Sciences,1,334,3,Male,36,,2,,Divorced,3072,19877,No,16,3,1,80,17,2,1,0
40,No,Research & Development,24,Technical Degree,1,335,1,Male,62,3,2,4,Divorced,3319,24447,No,17,3,1,80,9,3,9,4
45,No,Research & Development,1,Other,1,336,3,Male,70,4,5,4,Married,19202,15970,No,11,3,3,80,25,3,24,1
31,No,Research & Development,3,Medical,1,337,2,Male,73,3,3,3,Divorced,13675,13523,No,12,3,1,80,9,3,2,2
33,No,Research & Development,5,Life Sciences,1,338,3,Female,63,2,1,4,Married,2911,14776,No,13,3,3,80,2,2,2,0
34,No,Research & Development,2,Life Sciences,1,339,4,Male,84,2,2,1,Married,5957,23687,No,13,3,2,80,13,3,11,5
37,No,Research & Development,1,Medical,1,340,3,Female,83,2,1,1,Married,3920,18697,No,14,3,1,80,17,2,3,0
45,No,Research & Development,7,Life Sciences,1,341,1,Male,77,4,2,3,Married,6434,5118,No,17,3,4,80,9,3,3,0
37,Yes,Research & Development,10,Medical,1,342,1,Male,61,3,3,3,Divorced,10048,22573,No,11,3,2,80,17,3,1,0
39,No,Research & Development,2,Technical Degree,1,343,3,Female,64,3,3,3,Single,10938,6420,No,25,4,4,80,20,3,19,11
29,No,Research & Development,15,Life Sciences,1,346,3,Male,60,3,1,4,Single,2340,22673,No,19,3,1,80,6,3,6,1
42,No,Research & Development,17,Life Sciences,1,347,4,Female,82,4,,1,Single,6545,23016,Yes,13,3,3,80,10,3,3,0
29,No,Sales,20,Marketing,1,349,4,Male,45,3,2,4,Divorced,6931,10732,No,14,3,4,80,10,3,3,0
25,No,Research & Development,1,Life Sciences,1,350,1,Female,62,3,2,3,Married,4898,7505,No,12,3,4,80,5,3,4,1
42,No,Research & Development,2,Medical,1,351,4,Female,56,2,1,1,Divorced,2593,8007,Yes,11,3,3,80,10,3,9,7
40,No,Research & Development,2,Medical,1,352,1,Male,49,3,5,3,Divorced,19436,5949,No,19,3,4,80,22,3,21,3
51,No,Research & Development,1,Life Sciences,1,353,3,Male,96,3,1,4,Married,2723,23231,No,11,3,2,80,1,2,1,0
31,Yes,Research & Development,29,Medical,1,355,3,Male,71,2,1,2,Single,3479,11652,No,11,3,2,80,6,4,5,1
32,No,Research & Development,7,Life Sciences,1,359,2,Male,100,4,1,2,Married,2794,26062,No,20,4,3,80,5,1,5,0
38,No,Sales,2,Life Sciences,1,361,4,Male,39,2,,4,Married,5249,19682,No,18,3,4,80,13,3,8,7
32,No,Research & Development,2,Technical Degree,1,362,4,Male,84,2,2,1,Single,2176,19737,No,13,3,4,80,9,3,6,0
46,No,Sales,2,Technical Degree,1,363,3,Female,75,1,4,2,Married,16872,14977,Yes,12,3,2,80,28,2,7,7
28,Yes,Research & Development,2,Life Sciences,1,364,1,Male,79,3,1,3,Single,3485,14935,No,11,3,3,80,5,1,0,0
29,No,Sales,2,Medical,1,366,1,Male,78,2,2,2,Married,6644,3687,No,19,3,2,80,10,3,0,0
31,No,Research & Development,23,Medical,1,367,2,Male,64,2,2,4,Married,5582,14408,No,21,4,2,80,10,3,9,7
25,No,Research & Development,5,Life Sciences,1,369,2,Male,85,4,2,1,Divorced,4000,18384,No,12,3,4,80,6,3,6,1
45,No,Research & Development,20,Medical,1,372,3,Male,79,3,4,4,Married,13496,7501,Yes,14,3,2,80,21,3,20,4
36,No,Research & Development,6,Life Sciences,1,373,4,Male,47,3,1,4,Married,3210,20251,No,11,3,3,80,16,3,15,10
55,No,Research & Development,1,Medical,1,374,4,Male,81,3,5,1,Single,19045,18938,Yes,14,3,3,80,37,3,36,4
47,Yes,Research & Development,29,Life Sciences,1,376,1,Male,88,3,3,2,Married,11849,10268,Yes,12,3,4,80,10,2,10,9
28,No,Research & Development,9,Medical,1,377,4,Male,94,3,,4,Married,2070,2613,No,23,4,4,80,5,2,5,0
37,No,Sales,6,Medical,1,378,3,Male,98,3,2,4,Married,6502,22825,No,14,3,2,80,7,4,5,0
21,No,Research & Development,3,Medical,1,379,4,Male,100,2,1,3,Single,3230,10531,No,17,3,1,80,3,4,3,1
37,No,Research & Development,1,Medical,1,380,1,Female,80,3,3,4,Divorced,13603,11677,Yes,18,3,1,80,15,3,5,0
35,No,Research & Development,22,Life Sciences,1,381,2,Female,71,4,3,2,Divorced,11996,19100,No,18,3,2,80,10,2,7,6
38,No,Sales,7,Medical,1,382,1,Female,44,4,2,1,Divorced,5605,19191,Yes,24,4,3,80,8,3,8,7
26,No,Research & Development,1,Life Sciences,1,384,3,Female,84,3,2,2,Divorced,6397,26767,No,20,4,1,80,6,1,6,1
50,No,Research & Development,4,Life Sciences,1,385,1,Male,96,3,5,2,Divorced,19144,15815,No,14,3,1,80,28,2,10,1
53,No,Research & Development,3,Medical,1,386,3,Male,45,3,4,3,Married,17584,21016,Yes,16,3,4,80,21,2,5,1
42,No,Sales,1,Life Sciences,1,387,2,Male,99,3,2,3,Married,4907,24532,No,25,4,3,80,20,3,20,11
29,No,Sales,2,Life Sciences,1,388,2,Male,44,3,2,4,Single,4554,20260,No,18,3,1,80,10,2,10,0
55,No,Research & Development,20,Technical Degree,1,389,2,Male,37,3,2,4,Married,5415,15972,Yes,19,3,4,80,12,3,10,0
26,No,Research & Development,11,Medical,1,390,1,Male,60,3,,1,Married,4741,22722,Yes,13,3,3,80,5,3,5,3
37,No,Research & Development,1,Life Sciences,1,391,4,Female,42,3,1,4,Single,2115,15881,No,12,3,2,80,17,3,17,5
44,Yes,Research & Development,24,Life Sciences,1,392,4,Male,43,3,1,3,Divorced,3161,19920,Yes,22,4,4,80,19,1,1,0
38,No,Research & Development,23,Life Sciences,1,393,4,Male,82,3,2,4,Divorced,5745,18899,No,14,3,2,80,10,3,2,1
26,Yes,Research & Development,16,Medical,1,394,1,Male,45,3,1,2,Divorced,2373,14180,Yes,13,3,4,80,5,3,3,0
28,No,Research & Development,8,Life Sciences,1,395,4,Female,66,3,1,4,Single,3310,4488,No,21,4,4,80,5,3,5,0
49,No,Research & Development,10,Life Sciences,1,396,3,Female,35,3,5,1,Single,18665,25594,Yes,11,3,4,80,22,3,3,1
36,No,Research & Development,3,Technical Degree,1,397,3,Male,30,3,2,2,Single,4485,26285,No,12,3,4,80,10,3,8,7
31,No,Sales,5,Marketing,1,399,4,Female,84,3,1,2,Divorced,2789,3909,No,11,3,3,80,2,2,2,2
26,Yes,Sales,4,Marketing,1,401,4,Male,48,2,2,4,Single,5828,8450,Yes,12,3,2,80,8,3,8,7
37,No,Research & Development,9,Medical,1,403,2,Male,53,3,1,4,Married,2326,11411,Yes,12,3,3,80,4,2,4,1
42,No,Sales,26,Marketing,1,404,3,Female,77,3,,2,Married,13525,14864,No,14,3,4,80,23,4,20,4
18,Yes,Research & Development,3,Life Sciences,1,405,3,Male,54,3,1,3,Single,1420,25233,No,13,3,3,80,0,3,0,0
35,No,Sales,16,Marketing,1,406,3,Male,96,3,3,2,Married,8020,5100,No,15,3,3,80,12,2,11,6
36,No,Research & Development,18,Life Sciences,1,407,3,Male,81,4,1,4,Married,3688,7122,No,18,3,4,80,4,3,1,0
51,No,Research & Development,2,Medical,1,408,4,Male,84,1,2,2,Divorced,5482,16321,No,18,3,4,80,13,3,4,1
41,No,Sales,2,Life Sciences,1,410,4,Male,88,3,4,2,Single,16015,15896,No,19,3,2,80,22,3,22,0
18,No,Sales,10,Medical,1,411,4,Female,69,2,1,3,Single,1200,9724,No,12,3,1,80,0,3,0,0
28,No,Research & Development,16,Medical,1,412,2,Male,68,4,2,1,Single,5661,4824,No,19,3,3,80,9,3,8,0
31,No,Sales,7,Technical Degree,1,416,2,Male,100,4,2,4,Married,6929,12241,No,11,3,2,80,10,2,8,7
39,No,Research & Development,1,Medical,1,417,3,Male,48,4,,4,Divorced,9613,10942,No,17,3,1,80,19,2,18,3
36,No,Research & Development,24,Life Sciences,1,419,2,Female,47,3,2,2,Married,5674,6927,No,15,3,3,80,11,3,9,0
32,No,Sales,7,Life Sciences,1,420,4,Male,91,2,2,3,Married,5484,16985,No,14,3,3,80,13,2,13,4
38,No,Research & Development,25,Life Sciences,1,421,1,Female,81,2,3,2,Married,12061,26707,No,17,3,3,80,19,3,10,0
58,No,Research & Development,1,Life Sciences,1,422,4,Male,32,1,2,3,Divorced,5660,17056,Yes,13,3,4,80,12,3,5,1
31,No,Research & Development,5,Technical Degree,1,423,3,Male,86,3,1,4,Married,4821,10077,Yes,12,3,3,80,6,3,5,0
31,No,Human Resources,2,Human Resources,1,424,1,Male,62,2,2,1,Married,6410,17822,No,12,3,4,80,9,3,2,1
45,No,Research & Development,7,Life Sciences,1,425,1,Male,97,3,3,1,Divorced,5210,20308,No,18,3,1,80,24,3,24,9
31,No,Research & Development,2,Life Sciences,1,426,3,Male,32,3,1,4,Divorced,2695,7747,Yes,18,3,2,80,3,1,2,2
33,No,Research & Development,5,Life Sciences,1,428,4,Female,74,3,3,2,Married,11878,23364,No,11,3,2,80,12,3,10,8
39,No,Research & Development,10,Medical,1,429,3,Male,99,3,,1,Married,17068,5355,Yes,14,3,4,80,21,3,21,11
43,No,Research & Development,10,Life Sciences,1,430,3,Female,33,3,1,4,Single,2455,10675,No,19,3,1,80,9,3,8,1
49,No,Research & Development,1,Technical Degree,1,431,3,Female,90,2,4,3,Single,13964,17810,Yes,12,3,4,80,25,3,7,0
52,Yes,Research & Development,8,Medical,1,433,3,Male,85,2,2,2,Married,4941,17747,No,15,3,1,80,11,2,8,7
27,No,Research & Development,5,Life Sciences,1,434,3,Female,85,3,1,2,Single,2478,20938,Yes,12,3,2,80,4,2,4,1
32,No,Sales,8,Technical Degree,1,436,3,Female,65,2,2,2,Married,5228,24624,Yes,11,3,4,80,13,3,13,11
27,No,Sales,2,Life Sciences,1,437,4,Male,74,3,2,3,Single,4478,5242,Yes,11,3,1,80,5,3,5,0
31,No,Sales,7,Marketing,1,438,4,Male,73,3,2,4,Divorced,7547,7143,No,12,3,4,80,13,3,7,1
32,No,Research & Development,2,Medical,1,439,1,Female,74,4,2,4,Single,5055,10557,No,16,3,3,80,10,2,7,0
28,Yes,Research & Development,2,Medical,1,440,1,Male,84,1,1,4,Married,3464,24737,Yes,13,3,4,80,5,2,3,2
30,No,Research & Development,28,Medical,1,441,4,Female,64,3,2,4,Married,5775,11934,No,13,3,4,80,11,3,10,1
31,No,Research & Development,7,Life Sciences,1,442,3,Female,48,2,3,3,Married,8943,14034,No,24,4,1,80,10,3,10,8
39,No,Research & Development,7,Medical,1,444,3,Male,54,2,5,4,Married,19272,21141,No,15,3,1,80,21,3,21,13
39,Yes,Sales,3,Medical,1,445,4,Female,41,3,2,3,Married,5238,17778,Yes,18,3,1,80,12,2,1,0
33,No,Sales,10,Marketing,1,446,2,Male,46,,,4,Single,4682,4317,No,14,3,3,80,9,2,7,0
47,No,Research & Development,5,Life Sciences,1,447,4,Male,42,3,5,3,Married,18300,16375,No,11,3,2,80,21,3,3,1
43,No,Research & Development,10,Life Sciences,1,448,3,Female,82,2,2,3,Divorced,5257,6227,No,11,3,2,80,9,4,9,0
27,No,Sales,1,Marketing,1,449,3,Male,73,3,2,2,Married,6349,22107,Yes,13,3,4,80,6,3,5,1
54,No,Research & Development,20,Life Sciences,1,450,4,Female,31,3,2,3,Single,4869,16885,No,12,3,4,80,20,2,4,0
43,No,Research & Development,7,Life Sciences,1,451,3,Female,43,3,3,1,Married,9985,9262,No,16,3,1,80,10,2,1,0
45,No,Research & Development,8,Other,1,452,4,Male,75,3,2,4,Married,3697,9278,No,14,3,1,80,12,3,10,9
40,No,Sales,1,Medical,1,453,2,Male,57,1,2,4,Married,7457,13273,Yes,22,4,3,80,6,2,4,0
29,Yes,Research & Development,8,Other,1,454,2,Male,77,1,1,1,Married,2119,4759,Yes,11,3,4,80,7,2,7,0
29,No,Research & Development,9,Other,1,455,2,Male,30,2,1,4,Single,3983,7621,No,17,3,3,80,4,3,3,2
30,No,Sales,5,Marketing,1,456,4,Female,30,2,2,3,Divorced,6118,5431,No,13,3,3,80,10,3,10,1
27,No,Sales,8,Marketing,1,458,2,Female,56,3,2,2,Married,6214,3415,No,18,3,1,80,8,3,8,0
37,No,Research & Development,5,Medical,1,460,4,Male,61,3,2,4,Divorced,6347,23177,No,16,3,3,80,8,2,6,0
38,No,Research & Development,15,Life Sciences,1,461,3,Male,92,2,3,4,Divorced,11510,15682,Yes,14,3,2,80,12,3,11,2
31,No,Research & Development,7,Medical,1,462,3,Female,39,3,3,4,Single,7143,25713,Yes,14,3,3,80,11,2,11,4
29,No,Sales,10,Marketing,1,463,4,Female,39,2,2,2,Divorced,8268,11866,Yes,14,3,1,80,7,3,7,1
35,No,Research & Development,5,Technical Degree,1,464,3,Male,62,,3,2,Single,8095,18264,No,13,3,4,80,17,3,16,0
23,No,Research & Development,26,Life Sciences,1,465,3,Male,83,,1,4,Divorced,2904,16092,No,12,3,3,80,4,2,4,0
41,No,Research & Development,6,Medical,1,466,4,Male,95,2,2,2,Single,6032,10110,Yes,15,3,4,80,8,3,5,1
47,No,Sales,4,Medical,1,467,2,Male,99,3,2,3,Single,2976,25751,No,19,3,1,80,5,3,0,0
42,No,Research & Development,23,Life Sciences,1,468,1,Female,44,3,4,4,Single,15992,15901,No,14,3,2,80,16,3,1,0
29,No,Sales,2,Life Sciences,1,469,4,Male,61,3,2,3,Married,4649,16928,No,14,3,1,80,4,2,4,0
42,No,Human Resources,2,Technical Degree,1,470,3,Male,52,3,1,3,Divorced,2696,24017,Yes,11,3,3,80,4,3,3,1
32,No,Research & Development,2,Medical,1,471,3,Female,75,3,1,2,Married,2370,3956,No,13,3,3,80,8,3,8,0
48,No,Sales,29,Medical,1,473,1,Female,91,3,3,3,Married,12504,23978,No,21,4,2,80,15,1,0,0
37,No,Research & Development,6,Medical,1,474,3,Male,51,4,2,1,Divorced,5974,17001,Yes,13,3,1,80,13,3,7,6
30,No,Sales,25,Technical Degree,1,475,4,Female,85,3,2,3,Married,4736,6069,Yes,12,3,2,80,4,4,2,2
26,No,Sales,1,Life Sciences,1,476,3,Male,57,3,2,3,Married,5296,20156,No,17,3,2,80,8,3,8,7
42,No,Research & Development,2,Other,1,477,1,Male,98,2,2,4,Single,6781,17078,No,23,4,2,80,14,3,1,0
21,Yes,Sales,1,Technical Degree,1,478,1,Female,99,,1,2,Single,2174,9150,Yes,11,3,3,80,3,3,3,1
36,No,Sales,1,Medical,1,479,4,Female,45,3,2,4,Single,6653,15276,No,15,3,2,80,7,3,1,0
36,No,Sales,3,Medical,1,481,1,Male,48,2,3,4,Married,9699,7246,No,11,3,1,80,16,3,13,1
57,No,Research & Development,1,Medical,1,482,4,Male,88,3,2,3,Married,6755,2967,No,11,3,3,80,15,3,3,1
40,No,Research & Development,10,Life Sciences,1,483,4,Female,46,4,1,3,Married,2213,22495,Yes,13,3,3,80,10,3,7,1
21,No,Sales,9,Medical,1,484,1,Male,39,3,1,4,Single,2610,2851,No,24,4,3,80,3,2,3,2
33,Yes,Sales,5,Marketing,1,485,4,Female,34,3,1,3,Single,2851,9150,Yes,13,3,2,80,1,3,1,0
37,No,Research & Development,10,Medical,1,486,3,Female,98,3,1,1,Married,3452,17663,No,20,4,2,80,17,3,5,0
46,No,Research & Development,7,Medical,1,487,3,Female,30,3,2,3,Married,5258,16044,No,14,3,3,80,7,4,1,0
41,Yes,Sales,4,Marketing,1,488,1,Male,56,3,2,2,Single,9355,9558,No,18,3,3,80,8,3,8,7
50,No,Research & Development,10,Technical Degree,1,491,4,Male,100,2,3,4,Single,10496,2755,No,15,3,4,80,20,3,4,1
40,Yes,Sales,22,Marketing,1,492,3,Male,68,2,2,3,Married,6380,6110,Yes,12,3,1,80,8,3,6,1
31,No,Research & Development,9,Life Sciences,1,493,3,Male,42,2,1,2,Single,2657,7551,Yes,16,3,4,80,3,3,2,2
21,Yes,Sales,12,Life Sciences,1,494,3,Female,90,,1,2,Single,2716,25422,No,15,3,4,80,1,3,1,0
29,No,Research & Development,23,Life Sciences,1,495,4,,54,3,1,4,Single,2201,18168,No,16,3,4,80,6,3,3,1
35,No,Research & Development,9,Life Sciences,1,496,3,Male,97,2,2,2,Single,6540,19394,No,19,3,3,80,10,3,1,0
27,No,Research & Development,1,Medical,1,497,4,Male,82,3,1,2,Divorced,3816,17881,No,11,3,2,80,5,3,5,0
28,No,Sales,9,Life Sciences,1,498,2,Male,92,3,2,4,Single,5253,20750,No,16,3,4,80,7,3,7,0
49,No,Research & Development,7,Other,1,499,2,Male,31,2,3,3,Single,10965,12066,No,24,4,3,80,26,3,5,0
51,No,Sales,14,Life Sciences,1,500,3,Female,87,3,2,4,Married,4936,14862,No,11,3,3,80,18,2,7,0
36,No,Research & Development,2,Life Sciences,1,501,4,Female,96,3,1,3,Married,2543,11868,No,13,3,2,80,6,3,2,2
34,Yes,Sales,19,Marketing,1,502,1,Male,67,4,2,4,Single,5304,4652,Yes,13,3,2,80,9,2,5,0
55,No,Research & Development,2,Life Sciences,1,505,3,Female,97,3,4,4,Single,16659,23258,Yes,13,3,3,80,30,3,5,1
24,No,Sales,10,Marketing,1,507,4,Female,77,3,2,3,Divorced,4260,5915,Yes,12,3,4,80,5,4,5,0
30,No,Sales,2,Technical Degree,1,508,3,,72,3,1,2,Married,2476,17434,No,18,3,1,80,1,3,1,0
26,Yes,Research & Development,3,Technical Degree,1,510,3,Male,73,3,1,1,Single,3102,6582,No,22,4,3,80,7,3,6,0
22,No,Research & Development,11,Medical,1,511,1,Female,43,3,1,2,Married,2244,24440,No,13,3,4,80,2,3,2,1
36,No,Sales,2,Medical,1,513,2,Male,61,2,3,3,Married,7596,3809,No,13,3,2,80,10,3,10,9
30,Yes,Research & Development,4,Technical Degree,1,514,3,Male,40,3,1,4,Single,2285,3427,Yes,23,4,3,80,3,3,1,0
37,No,Research & Development,14,Life Sciences,1,515,4,Female,95,3,1,1,Divorced,3034,26914,No,12,3,3,80,18,2,18,12
40,No,Sales,2,Marketing,1,516,4,Female,46,3,2,2,Divorced,5715,22553,No,12,3,3,80,8,3,5,1
42,No,Research & Development,1,Life Sciences,1,517,2,Female,95,3,1,1,Divorced,2576,20490,No,16,3,2,80,8,3,5,1
37,No,Research & Development,10,Life Sciences,1,518,3,Male,49,3,2,2,Single,4197,21123,Yes,12,3,4,80,18,2,1,0
43,No,Research & Development,12,Life Sciences,1,520,1,Male,59,2,4,2,Divorced,14336,4345,No,11,3,3,80,25,3,25,3
40,No,Research & Development,2,Medical,1,521,2,Female,78,2,2,3,Married,3448,13436,No,22,4,2,80,20,3,1,0
54,No,Research & Development,5,Medical,1,522,1,,86,3,5,1,Married,19406,8509,No,11,3,3,80,24,2,4,1
34,No,Sales,4,Marketing,1,523,3,Female,72,3,2,3,Married,6538,12740,No,15,3,1,80,6,3,3,1
31,No,Research & Development,7,Medical,1,524,2,Female,31,3,2,1,Married,4306,4156,No,12,3,2,80,13,1,13,3
43,No,Research & Development,21,Medical,1,525,4,Male,61,3,1,4,Married,2258,15238,No,20,4,1,80,8,3,3,1
43,No,Research & Development,8,Other,1,526,3,Female,74,3,2,3,Divorced,4522,2227,Yes,14,3,4,80,8,3,5,0
25,No,Sales,4,Life Sciences,1,527,2,Female,99,2,2,4,Single,4487,12090,Yes,11,3,2,80,5,3,5,1
37,No,Research & Development,25,Medical,1,529,2,Female,72,3,2,3,Married,4449,23866,Yes,15,3,1,80,15,3,13,10
31,No,Research & Development,1,Life Sciences,1,530,4,Male,98,2,1,1,Married,2218,16193,No,12,3,3,80,4,3,4,3
39,No,Research & Development,1,Life Sciences,1,531,2,Male,52,3,5,3,Divorced,19197,8213,Yes,14,3,3,80,21,3,21,1
56,No,Sales,6,Life Sciences,1,532,3,Female,86,4,4,1,Married,13212,18256,No,11,3,4,80,36,2,7,7
30,No,Sales,12,Technical Degree,1,533,2,Female,83,3,2,3,Single,6577,19558,No,11,3,2,80,6,3,5,4
41,No,Sales,1,Marketing,1,534,2,,49,4,3,1,Married,8392,19566,No,16,3,3,80,10,3,10,0
28,No,Research & Development,17,Medical,1,536,3,Male,79,3,2,1,Divorced,4558,13535,No,12,3,4,80,10,3,10,1
25,Yes,Research & Development,3,Medical,1,538,1,Male,91,3,1,1,Married,4031,9396,No,13,3,3,80,6,3,2,0
52,No,Research & Development,3,Medical,1,543,4,Male,39,2,3,3,Married,7969,19609,Yes,14,3,3,80,28,3,5,0
45,No,Research & Development,10,Life Sciences,1,544,1,Male,69,3,1,4,Married,2654,9655,No,21,4,4,80,8,2,2,0
52,No,Research & Development,4,Life Sciences,1,546,4,Female,30,3,4,4,Married,16555,10310,No,13,3,4,80,31,1,5,1
42,No,Research & Development,29,Life Sciences,1,547,1,Female,92,3,2,3,Divorced,4556,12932,No,11,3,2,80,19,3,5,0
30,No,Research & Development,2,Life Sciences,1,548,3,Female,43,1,2,4,Single,6091,24793,No,20,4,3,80,11,3,5,0
60,No,Research & Development,7,Life Sciences,1,549,1,Female,41,3,5,1,Married,19566,3854,No,11,3,4,80,33,1,29,11
46,No,Research & Development,18,Medical,1,550,3,Female,87,3,2,3,Divorced,4810,26314,No,14,3,3,80,19,2,10,0
42,No,Research & Development,28,Technical Degree,1,551,4,Female,88,2,2,4,Married,4523,4386,No,11,3,4,80,7,4,6,0
24,Yes,Sales,1,Technical Degree,1,554,1,Female,62,3,1,2,Single,3202,21972,Yes,16,3,2,80,6,3,5,1
34,Yes,Sales,6,Marketing,1,555,4,,33,1,1,3,Divorced,2351,12253,No,16,3,4,80,3,2,2,1
38,No,Research & Development,2,Life Sciences,1,556,4,Male,42,3,1,4,Married,1702,12106,Yes,23,4,3,80,1,3,1,0
40,No,Sales,2,Life Sciences,1,558,3,Female,79,3,5,3,Married,18041,13022,No,14,3,4,80,21,3,20,1
26,No,Research & Development,23,Life Sciences,1,560,1,Female,90,3,1,4,Divorced,2886,3032,No,22,4,2,80,3,1,3,0
30,No,Research & Development,3,Life Sciences,1,562,3,Male,53,3,1,4,Married,2097,16734,No,15,3,3,80,9,1,5,1
29,No,Research & Development,3,Medical,1,564,2,Male,93,2,3,3,Married,11935,21526,No,18,3,3,80,10,3,10,0
29,Yes,Research & Development,25,Technical Degree,1,565,3,Female,71,2,1,2,Married,2546,18300,No,16,3,2,80,6,4,2,1
19,Yes,Human Resources,2,Technical Degree,1,566,1,Male,52,2,1,4,Single,2564,18437,No,12,3,3,80,1,4,1,0
30,No,Sales,22,Other,1,567,3,Female,69,3,3,1,Married,8412,2890,No,11,3,3,80,10,3,9,7
57,No,Sales,29,Marketing,1,568,1,Male,56,2,4,4,Divorced,14118,22102,No,12,3,3,80,32,2,1,0
50,No,Research & Development,29,Life Sciences,1,569,2,,88,2,4,3,Married,17046,9314,No,15,3,2,80,28,3,27,15
30,No,Research & Development,2,Medical,1,571,3,Female,49,3,1,4,Single,2564,7181,No,14,3,3,80,12,2,11,6
60,No,Sales,28,Marketing,1,573,3,Female,80,2,3,1,Married,10266,2845,No,19,3,4,80,22,4,18,13
47,No,Research & Development,2,Medical,1,574,1,Female,65,3,2,4,Divorced,5070,7389,No,13,3,3,80,20,3,5,0
46,No,Research & Development,2,Life Sciences,1,575,1,Male,51,3,4,3,Married,17861,2288,No,13,3,3,80,26,1,3,0
35,No,Research & Development,22,Life Sciences,1,577,4,Male,46,1,1,3,Single,4230,19225,No,15,3,3,80,6,3,5,4
54,No,Research & Development,8,Life Sciences,1,578,3,Female,42,3,2,3,Single,3780,23428,No,11,3,3,80,19,3,1,0
34,No,Research & Development,2,Life Sciences,1,579,4,Male,62,2,1,3,Divorced,2768,8416,No,12,3,3,80,14,3,7,5
46,No,Sales,10,Marketing,1,580,3,Female,94,2,3,4,Married,9071,11563,Yes,19,3,3,80,15,3,3,1
31,No,Research & Development,9,Life Sciences,1,581,3,,33,3,3,2,Divorced,10648,14394,No,25,4,4,80,13,4,13,0
33,Yes,Research & Development,15,Medical,1,582,2,Male,56,3,3,3,Married,13610,24619,Yes,12,3,4,80,15,4,7,7
33,Yes,Research & Development,10,Medical,1,584,1,Male,38,1,1,4,Divorced,3408,6705,No,13,3,1,80,8,3,4,1
30,No,Sales,7,Marketing,1,585,4,Male,57,3,1,2,Single,2983,18398,No,14,3,1,80,4,3,3,1
35,No,Research & Development,16,Life Sciences,1,586,4,Male,72,3,3,3,Married,7632,14295,Yes,12,3,3,80,10,3,8,0
31,Yes,Research & Development,20,Life Sciences,1,587,1,Male,66,3,3,3,Married,9824,22908,No,12,3,1,80,12,3,1,0
